Order,Assignment,Unit,Points,Link,Purple highlights have instructional videos
169,Is It There or Not?,Arrays,85,https://docs.google.com/document/d/1XnLGfK8R48OgLGYnZMSWwTrQkqhabdgDiq9ET3oYEMw/edit?usp=sharing,
170,Where Is It?,Arrays,90,https://docs.google.com/document/d/1anF8agjSBdVz87lqEpSf5Xa4PgrbpL04yskttXEHDRo/edit?usp=sharing,
171,Lowest Temperature,Arrays,30,https://docs.google.com/document/d/1VpQHXTlf6_S7zpS4IwiTE0wkZ92yOhly4wbo61ybG1M/edit?usp=sharing,
172,Finding the Largest Value in an Array,Arrays,100,https://docs.google.com/document/d/1JKs03PsQlDFV9v6M-cRkfBqexkcCPd3LxmtlGjwsoGI/edit?usp=sharing,
173,Locating the Largest Value in an Array,Arrays,110,https://docs.google.com/document/d/1-iCPAqBpQDbXkGgMfhApC-eFkdAlfg53OSC6StJ-7iY/edit?usp=sharing,
174,Giving an Array a Bunch of Values at Once,Arrays,30,https://docs.google.com/document/d/1dIbcPMEa_VfE2mnQRJy-HLZ3tKuKj7xhcBMhI1jn2J4/edit?usp=sharing,
175,Parallel Arrays,Arrays,100,https://docs.google.com/document/d/1EUuEV16TwVmM7hHV7KADGslXFUCT0DrhdKygkHO5PGY/edit?usp=sharing,
176,Tic-Tac-Toe,Arrays,150,https://docs.google.com/document/d/1Ks6LSjv5qJTSpybolzXJTvQRXUF5MrjcjUgj6BcT2Aw/edit?usp=sharing,
177,Hangman,Arrays,200,https://docs.google.com/document/d/1dRK4Gn0Y5fTBgvM5ebcBBAyRnIye60PopxCkTNVCyJg/edit?usp=sharing,
178,MadLib Random,Sorting,40,https://programmingbydoing.com/a/madlib-random.html,
179,Movie Title Generator,Sorting,40,https://programmingbydoing.com/a/movie-title-gen.html,
180,PokéSwap,Sorting,40,https://programmingbydoing.com/a/poke-swap.html,
181,PokéTrader,Sorting,30,https://programmingbydoing.com/a/poke-trader.html,
182,PokéTrader 2,Sorting,20,https://programmingbydoing.com/a/poke-trader2.html,
183,Sorting an Array,Sorting,100,https://programmingbydoing.com/a/sorting-values.html,
184,Exchange Sort,Sorting,120,https://programmingbydoing.com/a/exchange-sort.html,
185,Bubble Sort,Sorting,130,https://programmingbydoing.com/a/bubble-sort.html,
186,Selection Sort,Sorting,130,https://programmingbydoing.com/a/selection-sort.html,
187,Mailing Addresses (Records),Records,10,https://docs.google.com/document/d/1MFHuD3dWu11j_9wRu2Ea3HcWnByS42nyN01Z9GBrITU/edit?usp=sharing,
188,Web Addresses,Records,30,https://docs.google.com/document/d/1go8xFJo5WxedEHREli1gHHu6CJSkElMOGCLG98Hyae0/edit?usp=sharing,
189,An Array of Records,Records,10,https://docs.google.com/document/d/10LlARFQYJw1HUf-5y9XAElQZZ_ihnM6g_NNuSv4N6fg/edit?usp=sharing,
190,Web Addresses Array,Records,10,https://docs.google.com/document/d/1qUsYPZnUm2NCZU32kT_fRJXBdIrc4OWVSi5g9SjacNQ/edit?usp=sharing,
191,Address toString(),Records,20,https://docs.google.com/document/d/1h75nm7SHh4bnXXQ2zdMPY9zBSM5rsbRD4tU-piCnb6E/edit?usp=sharing,
192,Basic Records,Records,80,https://docs.google.com/document/d/1b_IsYtwOCNYV-3Bzbc8kBXupGdQLasFPtPGzd1Si1GE/edit?usp=sharing,
193,A Little Database,Records,100,https://programmingbydoing.com/a/a-little-database.html,
194,A Little Database is shorter with a loop,Records,100,https://programmingbydoing.com/a/a-little-database-is-shorter-with-a-loop.html,
195,Records From a File,Records,10,https://docs.google.com/document/d/1Hdn6fe6L0ijLCF_QlgnrntezdovenirIlTSQVOaQK4Y/edit?usp=sharing,
196,Getting Data from a File,Records,120,https://programmingbydoing.com/a/getting-data-from-a-file.html,
197,Getting More Data from a File,Records,140,https://programmingbydoing.com/a/getting-more-data-from-a-file.html,
198,Storing Data in a File,Records,150,https://programmingbydoing.com/a/storing-data-in-a-file.html,
199,Reading What You Wrote,Records,160,https://programmingbydoing.com/a/reading-what-you-wrote.html,
200,Array of Records from a File (Temperatures Revisited),Records,10,https://docs.google.com/document/d/1NdSEq_OK3IjChS_m7nsGXWl6dVLa4ZfhjhpOCzMrLFg/edit?usp=sharing,
